Name_prod;Cost;skld13;skld89;skld99
"Asus N56VZ S4016V 90N9IC442W1811VD13AY";"0";"0";"0";"0"
"Asus N76VJ T4058D (XMAS Edition) 90NB0041-M00730";"0";"0";"0";"0"
"Asus X501A XX220R";"0";"0";"0";"0"
"Asus X501A XX343R";"0";"0";"0";"0"
"Asus X75VD-TY016R 90NCOC218W1221RD13AU";"0";"0";"0";"0"
"Dell Inspiron 3521 3521-6760";"0";"0";"0";"0"
"Dell Inspiron 3721 3721-1121";"0";"0";"0";"0"
"Dell Inspiron 3721 3721-7083";"0";"0";"0";"0"
"Dell Inspiron 3721 3721-7090";"0";"0";"0";"0"
"Dell Inspiron 5423 5423-6105";"0";"0";"0";"0"
"Dell Inspiron 5720 5720-5999";"0";"0";"0";"0"
"Dell Inspiron 5721 5721-0223";"0";"0";"0";"0"
"Dell Inspiron N411Z 411z-3198";"0";"0";"0";"0"
"Dell Inspiron N411Z N411z-2868";"0";"0";"0";"0"
"Dell Inspiron N5110 5110-6895";"0";"0";"0";"0"
"Dell Vostro 3550 3550-9054";"0";"0";"0";"0"
"HP Compaq Presario CQ57-371ER QH674EA";"0";"0";"0";"0"
"HP Compaq Presario CQ57-411ER B1P87EA";"0";"0";"0";"0"
"HP Compaq Presario CQ57-447ER A7R67EA";"0";"0";"0";"0"
"HP Pavilion g6-2253sr C4V62EA";"0";"0";"0";"0"
"HP Pavilion g6-2257sr C5B20EA";"0";"0";"0";"0"
"HP Pavilion g6-2305er D2Y64EA";"0";"0";"0";"0"
"HP Pavilion g6-2315er D2Y74EA";"0";"0";"0";"0"
"HP Pavilion g6-2316er D2Y75EA";"0";"0";"0";"0"
"HP Pavilion g6-2356er D2Y80EA";"0";"0";"0";"0"
"HP Pavilion g6-2360er D2Y81EA";"0";"0";"0";"0"
"HP Pavilion g6-2364sr D2Y83EA";"0";"0";"0";"0"
"HP Pavilion g6-2365er D2Y84EA";"0";"0";"0";"0"
"HP Pavilion g6-2367er D2Y86EA";"0";"0";"0";"0"
"HP Pavilion g7-2313er D2Y92EA";"0";"0";"0";"0"
"HP Pavilion g7-2314er D2Y93EA";"0";"0";"0";"0"
"Lenovo B590 59359269";"0";"0";"0";"0"
"Lenovo G780 59343358";"0";"0";"0";"0"
"Lenovo G780 59360023";"0";"0";"0";"0"
"Lenovo Idea Pad Yoga11 59345602";"0";"0";"0";"0"
"Lenovo IdeaPad B570e 59328654";"0";"0";"0";"0"
"Lenovo IdeaPad B570e 59335403";"0";"0";"0";"0"
"Lenovo IdeaPad G570 59314558";"0";"0";"0";"0"
"Lenovo IdeaPad G570 59319683";"0";"0";"0";"0"
"Lenovo IdeaPad V580c 59351826";"0";"0";"0";"0"
"Lenovo IdeaPad Y500 59349899";"0";"0";"0";"0"
"Packard Bell EASYNOTE TE11-HC NX.C1FER.019";"0";"0";"0";"0"
"Samsung 300E5C-U06 NP300E5C-U06RU";"0";"0";"0";"0"
"Samsung 300E5E-S05";"0";"0";"0";"0"
"Samsung 350E5C-S07 NP350E5C-S07RU";"0";"0";"0";"0"
"Samsung 350E7X-A02 NP350E7X-A02RU";"0";"0";"0";"0"
"Samsung 370R5E-A03 NP370R5E-A03RU";"0";"0";"0";"0"
"Samsung 370R5E-S02 NP370R5E-S02RU";"0";"0";"0";"0"
"Samsung 370R5E-S06";"0";"0";"0";"0"
"Samsung 370R5E-S0B NP370R5E-S0BRU";"0";"0";"0";"0"
"Samsung 510R5E-S04 NP510R5E-S04RU";"0";"0";"0";"0"
"Samsung 510R5E-S05 NP510R5E-S05RU";"0";"0";"0";"0"
"Samsung RV513-A02 RV513-A02RU";"0";"0";"0";"0"
"Sony VAIO SVD1121Q2R SV-D1121Q2R/B";"0";"0";"0";"0"
"Sony VAIO SVE1412E1R SV-E1412E1R/B";"0";"0";"0";"0"
"Sony VAIO SVE1512D1R SV-E1512D1R/B";"0";"0";"0";"0"
"Sony VAIO SVE1512D1R SV-E1512D1R/W";"0";"0";"0";"0"
"Sony VAIO SVZ1311V9R SV-Z1311V9R/X";"0";"0";"0";"0"
"Toshiba Satellite C870-D5W PSCBAR-02100DRU";"0";"0";"0";"0"
"Toshiba Satellite C870-DMK PSCBAR-01Y00DRU";"0";"0";"0";"0"
"Toshiba Satellite C870-DQK PSCBCR-019001RU";"0";"0";"0";"0"
"Toshiba Satellite L850-DJS PSKG8R-02G003RU";"0";"0";"0";"0"
"Acer Iconia Tab A701 32Gb HT.H9YEE.004";"0";"0";"0";"0"
"Acer Iconia Tab A701-10s64 HT.HAGEE.001";"0";"0";"0";"0"
"Apple iPad Mini 32Gb Wi-Fi + Cellular MD544TU/A";"0";"0";"0";"0"
"Apple iPad Mini 32Gb Wi-Fi MD532TU/A";"0";"0";"0";"0"
"Apple iPad Mini 64Gb Wi-Fi MD533TU/A";"0";"0";"0";"0"
"Asus Transformer Pad Infinity 700 64Gb dock 90OK0QB1100270Y";"0";"0";"0";"0"
"HP ElitePad 900 32Gb 3G D4T16AA";"0";"0";"0";"0"
"Prestigio MultiPad 7100D 16Gb PMP7100DDUO";"0";"0";"0";"0"
"Acer Aspire S3-391-53314G52add NX.M1FER.006";"0";"0";"0";"0"
"Dell XPS Duo 12 221x-7101";"0";"0";"0";"0"
"Samsung 530U3C-A08 530U3C-A08RU";"0";"0";"0";"0"
"Sony VAIO SVT1312Z1R SV-T1312Z1R/S";"0";"0";"0";"0"
"Acer Aspire Z3100 PW.SETE1.007";"0";"0";"0";"0"
"Asus EeeTOP ET2012EUKS 90PT0081000220Q";"0";"0";"0";"0"
"Asus EeeTOP ET2012EUKS B005A 90PT0081000220Q";"0";"0";"0";"0"
"Asus EeeTop ET2400INT-B063E";"0";"0";"0";"0"
"Asus EeeTop ET2411INKI 90PT00B1000800C";"0";"0";"0";"0"
"Asus EeeTOP ET2411INKI B003K 90PT00B1001360C";"0";"0";"0";"0"
"Asus EeeTOP ET2701INKI 90PT00D1001930Q";"0";"0";"0";"0"
"Samsung 300A2A-T01 DP-300A2A-T01";"0";"0";"0";"0"
"Samsung 700A3D-S02 DP700A3D-S02";"0";"0";"0";"0"
"Acer Aspire 5750G-2454G32Mnkk LX.RXP01.009";"0";"0";"0";"0"
"Acer Aspire 5755G-2434G64Mnks LX.RPZ02.057";"0";"0";"0";"0"
"Acer Aspire E1-571G-53214G50Mnks NX.M0DER.026";"0";"0";"0";"0"
"Acer Aspire V3-571G NX.RZPER.010";"0";"0";"0";"0"
"Acer Aspire V3-571G-33126G50Makk NX.M67ER.007";"0";"0";"0";"0"
"Acer Aspire V5-171-33214G50ass NX.M3AER.015";"0";"0";"0";"0"
"Apple MacBook Pro MC976RS/A";"0";"0";"0";"0"
"Asus F401U WX026R 90N40Y124W0213RD13AU";"0";"0";"0";"0"
"Asus G55VW IX060V 90NB7C222W2165VD53AY";"0";"0";"0";"0"
"Asus K53SD (X53SD) SX1311R 90N3ES1C4W1K19RD13AY";"0";"0";"0";"0"
"Asus K53TK 90NBNC218W2512RD13AC";"0";"0";"0";"0"
"K73TK TY011R 90NBUC318W1222RD13AC";"0";"0";"0";"0"
"Asus K75DE TY046R";"0";"0";"0";"0"
"Asus N53TA 90N4SL618W2547RD13AU";"0";"0";"0";"0"
"Asus N76VZ T1198R 90NAJC552W1553RD13AY";"0";"0";"0";"0"
"Asus P50IJ 90NXIA210W2B2360I3AY";"0";"0";"0";"0"
"Asus U31JG 90N1BA134W1A11RD13AY";"0";"0";"0";"0"
"Asus U32VJ RO002P 90NB00B1-M00020";"0";"0";"0";"0"
"Asus X53BR SX073R 90N8SI218W2121RD13AC";"0";"0";"0";"0"
"Asus X54C SX161R 90N9TY118W1711RD53AY";"0";"0";"0";"0"
"Asus X54HR (K54HR) SX027D 90N9EI128W18226053AY";"0";"0";"0";"0"
"Asus X54HR 90N9EI128W1712RD53AY";"0";"0";"0";"0"
"Asus X55A SX096R 90NBHA138W2925RD43AU";"0";"0";"0";"0"
"Dell Inspiron 7720 7720-6143";"0";"0";"0";"0"
"Dell Inspiron N5040 5040-7762";"0";"0";"0";"0"
"HP Envy dv6-7251er C0V61EA";"0";"0";"0";"0"
"HP Envy dv6-7263er C5U12EA";"0";"0";"0";"0"
"HP Envy dv7-7252er C0T71EA";"0";"0";"0";"0"
"HP Pavilion dv6-6151er LZ494EA";"0";"0";"0";"0"
"HP Pavilion dv6-6c50er A7M87EA";"0";"0";"0";"0"
"HP Pavilion g6-1160er QA892EA";"0";"0";"0";"0"
"HP Pavilion g6-1300er A7T07EA";"0";"0";"0";"0"
"HP Pavilion g6-1325er B1W56EA";"0";"0";"0";"0"
"HP Pavilion g6-1336er B1W61EA";"0";"0";"0";"0"
"HP Pavilion g6-2003er B3M38EA";"0";"0";"0";"0"
"Lenovo G780 59350015";"0";"0";"0";"0"
"Lenovo Idea Pad Yoga11 59345601";"0";"0";"0";"0"
"Lenovo IdeaPad B570e 59322430";"0";"0";"0";"0"
"Lenovo IdeaPad B590 59359264";"0";"0";"0";"0"
"Lenovo IdeaPad U400 59319113";"0";"0";"0";"0"
"Lenovo IdeaPad Z460 59059057";"0";"0";"0";"0"
"Lenovo IdeaPad Z565 59051923";"0";"0";"0";"0"
"Samsung 300E5A-A03 NP300E5A-A03RU";"0";"0";"0";"0"
"Samsung 300E5Z-A06 NP300E5Z-A06RU";"0";"0";"0";"0"
"Samsung 300V5A-S05 NP300V5A-S05";"0";"0";"0";"0"
"Samsung 305V5A-S0A NP305V5A-S0ARU";"0";"0";"0";"0"
"Samsung 305V5A-S0C NP305V5A-S0CRU";"0";"0";"0";"0"
"Samsung 350E7C-A04";"0";"0";"0";"0"
"Samsung 350E7X-S03";"0";"0";"0";"0"
"Samsung 350V5C Titan NP-350V5C-A06RU";"0";"0";"0";"0"
"Samsung 355V5C-S0L NP355V5C-S0LRU";"0";"0";"0";"0"
"Samsung 370R5E-S07 NP370R5E-S07RU";"0";"0";"0";"0"
"Samsung 535U3C-A06";"0";"0";"0";"0"
"Samsung 700G7C-T02 NP700G7C-T02RU";"0";"0";"0";"0"
"Samsung RV513-S03 NP-RV513-S03RU";"0";"0";"0";"0"
"Sony VAIO CA4S1R VPC-CA4S1R/L";"0";"0";"0";"0"
"Sony VAIO EK2S1R VPC-EK2S1R/B";"0";"0";"0";"0"
"Sony VAIO SVD1121X9R SV-D1121X9R/B";"0";"0";"0";"0"
"Sony VAIO SVE1112M1R SV-E1112M1R/B";"0";"0";"0";"0"
"Sony VAIO SVE14A1S1R SV-E14A1S1R/B";"0";"0";"0";"0"
"Sony VAIO SVE14A1V1R SV-E14A1V1R/P";"0";"0";"0";"0"
"Sony VAIO SVE1512G1R SV-E1512G1R/B";"0";"0";"0";"0"
"Sony VAIO SVE1711G1R SV-E1711G1R/W";"0";"0";"0";"0"
"Sony VAIO SVE1712S1R SV-E1712S1R/W";"0";"0";"0";"0"
"Sony VAIO SVS1512U1R SV-S1512U1R/W";"0";"0";"0";"0"
"Toshiba Satellite C850-B7K PSKC8R-04P016RU";"0";"0";"0";"0"
"Toshiba Satellite C850-D1R PSCBYR-023003RU";"0";"0";"0";"0"
"Toshiba Satellite C850-D7S PSCBYR-029003RU";"0";"0";"0";"0"
"Toshiba Satellite L850-D1B PSKG8R-03Q003RU";"0";"0";"0";"0"
"Toshiba Satellite L875-B6M PSKBLR-02U00PRU";"0";"0";"0";"0"
"3Q Qoo! Surf Tablet PC RC0710B";"0";"0";"0";"0"
"Acer Iconia Tab A701-10k64 HT.HAFEE.001";"0";"0";"0";"0"
